City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
83,Ponta Do Sol,PT,32.6667,-17.1,68.0,40,8.05,scattered clouds
84,Lompoc,US,34.6391,-120.4579,59.0,53,14.97,broken clouds
85,Belaya Gora,RU,68.5333,146.4167,-18.58,100,3.15,overcast clouds
86,Upernavik,GL,72.7868,-56.1549,-3.14,96,9.1,overcast clouds
87,Khatanga,RU,71.9667,102.5,-12.62,47,9.04,scattered clouds
88,Sandnessjoen,NO,66.0217,12.6316,39.2,75,14.97,broken clouds
89,Svetlaya,RU,46.5389,138.3297,30.29,77,7.72,broken clouds
90,Katsuura,JP,35.1333,140.3,48.0,96,3.0,overcast clouds
91,Qaanaaq,GL,77.484,-69.3632,-6.74,0,1.72,clear sky
92,Floro,NO,61.5996,5.0328,41.0,40,6.91,scattered clouds
93,Bundaberg,AU,-24.85,152.35,62.01,0,3.44,clear sky
94,Gilgit,PK,35.9221,74.3087,57.06,100,1.32,overcast clouds
95,Beringovskiy,RU,63.05,179.3167,0.64,24,5.03,few clouds
96,Camacari,BR,-12.6975,-38.3242,84.2,20,12.66,few clouds
97,Cherskiy,RU,68.75,161.3,-9.31,53,3.29,broken clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,75.2,20,16.11,few clouds
99,Meadow Lake,US,34.8014,-106.5436,71.01,20,6.91,few clouds
100,Bontang,ID,0.1333,117.5,75.47,100,6.22,moderate rain
101,Kodinsk,RU,58.6881,99.1844,21.29,39,2.35,scattered clouds
102,Saint-Philippe,RE,-21.3585,55.7679,78.8,90,8.05,light rain
103,Tarakan,ID,3.3,117.6333,76.8,100,5.5,overcast clouds
104,Kieta,PG,-6.2167,155.6333,77.83,100,0.49,overcast clouds
105,Esperance,AU,-33.8667,121.9,55.4,90,6.91,light rain
106,Neiafu,TO,-18.65,-173.9833,69.8,20,5.14,few clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,20,10.36,few clouds
108,Barrow,US,71.2906,-156.7887,12.2,90,11.5,overcast clouds
109,Viedma,AR,-40.8135,-62.9967,81.27,1,21.65,clear sky
