City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Luba,GQ,82.4,few clouds,3.4568,8.5547,
311,Benguela,AO,81.21,clear sky,-12.5763,13.4055,
317,Cap Malheureux,MU,79.0,light rain,-19.9842,57.6142,
320,Kavaratti,IN,84.0,few clouds,10.5669,72.642,
321,Eyl,SO,81.36,broken clouds,7.9803,49.8164,
322,Primero De Marzo,PY,87.8,few clouds,-25.153000000000002,-56.928000000000004,
327,Oriximina,BR,80.24,overcast clouds,-1.7656,-55.8661,
329,Balabac,PH,79.27,few clouds,7.9868,117.0645,
333,Bowmore,US,84.2,clear sky,34.9421,-79.3031,
334,Dzaoudzi,YT,80.6,broken clouds,-12.7887,45.2699,
337,Crateus,BR,82.71,overcast clouds,-5.1783,-40.6775,
339,Yuli,NG,85.82,overcast clouds,9.6989,10.2744,
340,Salinopolis,BR,83.03,overcast clouds,-0.6136,-47.3561,
349,Kyaikto,MM,82.09,light rain,17.3,97.0167,
357,Cururupu,BR,85.33,overcast clouds,-1.8283,-44.8683,
358,Miraflores,MX,77.0,scattered clouds,19.2167,-98.8083,
360,Alyangula,AU,75.2,overcast clouds,-13.8483,136.4192,
361,Miri,MY,75.2,scattered clouds,4.4148,114.0089,
366,Callaway,US,79.0,broken clouds,30.153000000000002,-85.5699,
368,Samarai,PG,80.08,overcast clouds,-10.6167,150.6667,
369,Cockburn Town,TC,78.8,few clouds,21.4612,-71.1419,
376,Denpasar,ID,80.6,scattered clouds,-8.65,115.2167,
379,Silay,PH,79.38,moderate rain,10.798,122.9757,
384,Sinnamary,GF,82.89,broken clouds,5.3833,-52.95,
390,Santa Cruz,BO,90.0,scattered clouds,-17.8,-63.1667,
395,Madimba,TZ,75.2,broken clouds,-10.4,40.3333,
396,Caruray,PH,78.8,few clouds,10.3094,119.0128,
397,Cocobeach,GA,75.2,scattered clouds,1.0002,9.5823,
398,Gamba,GA,79.86,moderate rain,-2.65,10.0,
400,Port Hedland,AU,75.2,overcast clouds,-20.3167,118.5667,
401,Buala,SB,79.29,overcast clouds,-8.145,159.5921,
402,Poum,NC,79.32,light rain,-20.2333,164.0167,
404,Bandarbeyla,SO,81.05,few clouds,9.4942,50.8122,
414,Bapatla,IN,83.1,broken clouds,15.9,80.4667,
416,Talara,PE,87.8,clear sky,-4.5772,-81.2719,
418,Woodway,US,78.8,overcast clouds,31.506,-97.205,
422,Bayeux,BR,82.4,scattered clouds,-7.125,-34.9322,
423,Sumbe,AO,80.83,broken clouds,-11.2061,13.8437,
429,Khorramshahr,IR,77.0,clear sky,30.4397,48.1664,
433,Tingo Maria,PE,86.0,few clouds,-9.2895,-76.0088,
436,Yaan,NG,81.64,overcast clouds,7.3833,8.5667,
438,Trinidad,BO,87.89,clear sky,-14.8333,-64.9,
439,Biltine,TD,84.74,clear sky,14.5333,20.9167,
442,Tagusao,PH,78.71,scattered clouds,9.1924,117.8141,
450,Baillif,GP,84.2,overcast clouds,16.0202,-61.7463,
451,Axim,GH,81.52,overcast clouds,4.8699,-2.2405,
452,Harper,LR,81.73,broken clouds,4.375,-7.7169,
456,Andros Town,BS,78.8,few clouds,24.7,-77.7667,
462,Gulabpura,IN,81.43,broken clouds,25.9,74.6667,
463,Miramar,US,82.4,clear sky,25.9873,-80.2323,
470,Sao Joao Da Barra,BR,80.6,few clouds,-21.6403,-41.0511,
476,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,
478,Charagua,BO,86.95,scattered clouds,-19.8,-63.2167,
