City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2021-04-14 15:26:11,-38.0023,-57.5575,69.8,68,0,9.22
68,Ribeira Grande,PT,2021-04-14 15:26:12,38.5167,-28.7,64.4,88,40,10.36
69,Bengkulu,ID,2021-04-14 15:26:12,-3.8004,102.2655,77.18,87,81,4.18
70,Khani,GE,2021-04-14 15:26:12,41.9563,42.9566,64.4,45,0,6.91
71,Flinders,AU,2021-04-14 15:26:13,-34.5833,150.8552,59.0,58,15,11.5
72,Hofn,IS,2021-04-14 15:26:13,64.2539,-15.2082,48.2,76,20,21.85
73,San Antonio,US,2021-04-14 15:21:29,29.4241,-98.4936,78.8,73,75,7.56
74,Little Elm,US,2021-04-14 15:25:25,33.1626,-96.9375,61.0,75,100,5.01
75,Hermanus,ZA,2021-04-14 15:26:14,-34.4187,19.2345,78.01,62,1,5.99
76,Luderitz,NA,2021-04-14 15:26:14,-26.6481,15.1594,83.79,30,0,7.76
77,New Norfolk,AU,2021-04-14 15:26:15,-42.7826,147.0587,54.0,80,96,3.0
78,Port Shepstone,ZA,2021-04-14 15:26:15,-30.7414,30.455,78.08,82,23,20.45
79,Dicabisagan,PH,2021-04-14 15:26:15,17.0818,122.4157,77.47,87,93,3.85
80,Bluff,NZ,2021-04-14 15:26:16,-46.6,168.3333,48.99,95,100,1.01
81,Esperance,AU,2021-04-14 15:26:16,-33.8667,121.9,55.4,94,75,9.82
82,Morros,BR,2021-04-14 15:26:17,-9.4467,-46.3003,88.27,46,41,6.02
83,Constitucion,CL,2021-04-14 15:26:17,-35.3333,-72.4167,66.18,64,0,6.4
84,Ossora,RU,2021-04-14 15:26:17,59.2353,163.0719,18.73,95,98,7.2
85,Nouadhibou,MR,2021-04-14 15:25:57,20.931,-17.0347,71.6,73,0,20.71
86,Noumea,NC,2021-04-14 15:26:18,-22.2763,166.4572,77.0,94,20,9.22
87,Kungurtug,RU,2021-04-14 15:26:18,50.5994,97.5228,19.35,85,68,3.94
88,Atuona,PF,2021-04-14 15:26:19,-9.8,-139.0333,79.52,81,87,16.93
89,Dwarka,IN,2021-04-14 15:26:19,22.2394,68.9678,81.34,69,0,8.14
90,Chakulia,IN,2021-04-14 15:26:19,22.4833,86.7167,88.81,42,77,14.81
91,Cabo San Lucas,MX,2021-04-14 15:26:20,22.8909,-109.9124,78.01,43,1,6.8
92,Prado,BR,2021-04-14 15:25:13,-17.3411,-39.2208,82.24,55,68,13.09
93,Kodiak,US,2021-04-14 15:26:20,57.79,-152.4072,35.6,87,90,14.97
94,Butaritari,KI,2021-04-14 15:26:21,3.0707,172.7902,81.32,77,49,8.25
95,Iqaluit,CA,2021-04-14 15:26:21,63.7506,-68.5145,1.4,71,20,26.46
96,East London,ZA,2021-04-14 15:26:21,-33.0153,27.9116,73.4,88,75,9.22
97,Shingu,JP,2021-04-14 15:26:22,33.7333,135.9833,45.9,72,1,6.4
98,Mattru,SL,2021-04-14 15:26:22,7.6244,-11.8332,92.19,48,99,7.0
99,Zhangjiakou,CN,2021-04-14 15:26:22,40.81,114.8794,53.15,24,0,4.12
100,Las Cruces,US,2021-04-14 15:25:03,32.3123,-106.7783,64.99,38,93,3.0
101,Buenos Aires,AR,2021-04-14 15:24:58,-34.6132,-58.3772,72.0,64,0,9.22
102,Mizoch,UA,2021-04-14 15:26:23,50.4,26.15,44.6,81,90,8.95
103,Vaini,TO,2021-04-14 15:26:23,-21.2,-175.2,66.2,94,20,4.36
104,Tasiilaq,GL,2021-04-14 15:26:24,65.6145,-37.6368,33.8,86,90,4.61
105,Melchor De Mencos,GT,2021-04-14 15:26:24,17.0686,-89.1522,86.0,70,0,11.5
106,Verkhnevilyuysk,RU,2021-04-14 15:26:25,63.4453,120.3167,14.77,97,100,4.18
107,Hithadhoo,MV,2021-04-14 15:26:25,-0.6,73.0833,83.34,62,90,4.45
108,Kutum,SD,2021-04-14 15:25:09,14.2,24.6667,87.03,4,94,14.79
109,Mitsamiouli,KM,2021-04-14 15:26:26,-11.3847,43.2844,80.6,89,75,9.22
110,Ahipara,NZ,2021-04-14 15:26:26,-35.1667,173.1667,62.01,73,30,11.3
111,Ketchikan,US,2021-04-14 15:26:26,55.3422,-131.6461,33.8,100,1,2.06
112,Kruisfontein,ZA,2021-04-14 15:26:27,-34.0033,24.7314,66.0,91,1,1.99
113,Reconquista,AR,2021-04-14 15:26:27,-29.15,-59.65,77.14,48,0,5.75
114,Maniitsoq,GL,2021-04-14 15:26:28,65.4167,-52.9,24.76,82,95,25.21
115,Georgetown,MY,2021-04-14 15:26:28,5.4112,100.3354,82.0,88,20,2.3
116,Saskylakh,RU,2021-04-14 15:26:29,71.9167,114.0833,2.5,99,37,4.34
117,Raudeberg,NO,2021-04-14 15:26:29,61.9875,5.1352,44.6,65,40,8.05
118,Hambantota,LK,2021-04-14 15:26:29,6.1241,81.1185,77.0,100,40,3.44
119,Sayat,TM,2021-04-14 15:26:30,38.7839,63.8803,66.2,32,0,4.61
120,Mongo,TD,2021-04-14 15:26:30,12.1844,18.693,102.63,4,63,8.81
121,Sarkand,KZ,2021-04-14 15:25:25,45.41,79.9186,50.29,39,0,3.36
122,Mount Isa,AU,2021-04-14 15:26:31,-20.7333,139.5,69.8,40,2,1.14
123,Sakaiminato,JP,2021-04-14 15:26:31,35.55,133.2333,41.0,93,20,5.75
124,Bredasdorp,ZA,2021-04-14 15:26:32,-34.5322,20.0403,73.4,60,2,9.22
125,Tilichiki,RU,2021-04-14 15:26:32,60.4667,166.1,9.52,92,100,6.78
126,Lagoa,PT,2021-04-14 15:26:32,39.05,-27.9833,60.73,87,97,14.38
127,Broken Hill,AU,2021-04-14 15:26:33,-31.95,141.4333,57.2,54,70,6.91
128,Airai,TL,2021-04-14 15:26:33,-8.9266,125.4092,57.06,82,7,1.92
129,Roseburg,US,2021-04-14 15:23:20,43.2165,-123.3417,41.0,56,1,0.36
130,Arraial Do Cabo,BR,2021-04-14 15:26:34,-22.9661,-42.0278,82.4,61,75,14.97
131,Najran,SA,2021-04-14 15:26:34,17.4924,44.1277,93.2,16,40,9.22
132,Dubovka,RU,2021-04-14 15:24:24,49.0583,44.829,71.01,21,0,8.95
133,Staraya Mayna,RU,2021-04-14 15:26:35,54.6,48.95,66.2,39,40,6.71
134,Arlit,NE,2021-04-14 15:26:35,18.7369,7.3853,104.07,4,0,1.03
135,Adrasmon,TJ,2021-04-14 15:26:15,40.6472,69.9856,62.6,51,72,6.71
136,Padang,ID,2021-04-14 15:21:58,-0.9492,100.3543,79.38,84,96,2.1
137,Caravelas,BR,2021-04-14 15:26:36,-17.7125,-39.2481,81.19,57,64,12.97
138,Namibe,AO,2021-04-14 15:26:36,-15.1961,12.1522,86.0,74,40,11.5
139,Neftcala,AZ,2021-04-14 15:26:36,39.3742,49.2472,67.15,46,42,8.81
140,Manoel Urbano,BR,2021-04-14 15:26:37,-8.8389,-69.2597,86.99,54,60,4.09
141,Provideniya,RU,2021-04-14 15:26:37,64.3833,-173.3,16.9,86,100,6.02
142,Geraldton,AU,2021-04-14 15:26:38,-28.7667,114.6,59.0,67,0,10.36
143,Aklavik,CA,2021-04-14 15:26:38,68.2191,-135.0107,12.2,79,75,2.3
144,Deputatskiy,RU,2021-04-14 15:26:38,69.3,139.9,-13.52,100,100,1.81
145,Dulovo,BG,2021-04-14 15:26:39,43.8167,27.15,53.01,48,80,11.99
146,Heishan,CN,2021-04-14 15:26:39,41.6892,122.1128,48.38,37,1,14.38
147,Antofagasta,CL,2021-04-14 15:22:17,-23.65,-70.4,64.4,68,40,5.75
148,Bollnas,SE,2021-04-14 15:24:35,61.3482,16.3946,46.0,46,96,1.01
149,Aswan,EG,2021-04-14 15:24:16,24.0934,32.907,91.87,8,0,12.39
150,Beaverlodge,CA,2021-04-14 15:26:40,55.2166,-119.4361,39.2,56,40,5.75
151,Sao Filipe,CV,2021-04-14 15:26:40,14.8961,-24.4956,80.29,52,41,15.35
152,Port Moresby,PG,2021-04-14 15:26:41,-9.4431,147.1797,75.2,88,40,3.44
153,Stettler,CA,2021-04-14 15:22:35,52.3168,-112.7186,35.6,44,16,11.5
154,Turbat,PK,2021-04-14 15:26:41,26.0023,63.044,88.18,30,100,14.58
155,Ponta Do Sol,PT,2021-04-14 15:26:42,32.6667,-17.1,68.0,77,40,5.75
156,Chicama,PE,2021-04-14 15:26:42,-7.8447,-79.1469,68.0,83,75,9.22
157,Comodoro Rivadavia,AR,2021-04-14 15:26:43,-45.8667,-67.5,73.4,38,40,11.5
